"Sample","Lab.ID","Class","Individual","Bundle.No.","Period","Event.ID","Priority","Selected","Comments","Loci","Sex","site","cid"
"292-107-01",571,"sample","10-86-01","292",5,"107-01",1,1,"","7",204.25,107,1
"233-90-05",465,"sample","25-55-01","233",4,"90-05",1,1,"","7",204.25,90,5
"373-99-01",719,"sample","12-106-02","373",6,"99-01",1,1,"","7",204.25,99,1
"75-100-01",162,"sample","23-100-05","75",2,"100-01",1,1,"","7",204.25,100,1
"197-22-03",399,"sample","17-2-02","197",4,"22-03",2,1,"1st envelope","7",204.25,22,3
"27-4-10",997,"sample","12-106-02","247",4,"27-10",4,2,"1st envelope","7",204.25,27,10
"210-98-01",421,"sample","47-64-04","210",4,"98-01",1,1,"","7",250.25,98,1
"32-4-1",841,"sample","121-22-04","82",4,"32-01",4,1,"1st envelope","7",250.25,32,1
"343-17-01",666,"sample","13-27-05","343",6,"17-01",3,1,"","7",250.25,17,1
"262-34-06",518,"sample","67-114-04","262",5,"34-06",3,NA,"","7",204.25,34,6
"252-4-03",501,"sample","12-106-02","252",5,"4-03",3,1,"","7",204.25,4,3
"31-60-03",31,"sample","31-60-03","31",2,"60-03",1,1,"2nd envelope","24",204.25,60,3
"85-41-01",183,"sample","25-55-01","85",2,"41-01",1,1,"1st envelope","7",204.25,41,1
"72-119-04",154,"sample","6-87-08","72",2,"119-04",2,1,"1st envelope","24",250.25,119,4
"16-96-03",83,"sample","12-106-02","16",2,"96-03",3,1,"","11",204.25,96,3
"40-35-09",112,"sample","2213","40",2,"35-09",3,1,"coarse underfur, not sure about roots","7",250.25,35,9
"56-75-02",129,"sample","12-106-02","56",6,"75-02",3,1,"","7",204.25,75,2
"86-56-03",187,"sample","35-69-01","86",2,"56-03",2,1,"","7",250.25,56,3
"163-59-03",332,"sample","31-60-03","163",4,"59-03",2,1,"","7",204.25,59,3
"120-5-2",941,"sample","0056","189",5,"120-02",4,1,"coarse underfur","7",250.25,120,2
"243-45-03",485,"sample","35-69-01","243",5,"45-03",3,1,"","7",250.25,45,3
"267-75-01",527,"sample","12-106-02","267",5,"75-01",3,1,"","7",204.25,75,1
"381-22-05",734,"sample","12-106-02","381",6,"22-05",2,1,"1st envelope","7",204.25,22,5
"336-50-02",1085,"sample","13-27-05","336",6,"50-02",3,2,"1st envelope","7",250.25,50,2
"387-83-01",745,"sample","67-114-04","387",2,"83-01",3,1,"","7",204.25,83,1
"371-101-06",716,"sample","67-114-04","371",6,"101-06",1,1,"","7",204.25,101,6
"17-2-03",85,"sample","12-106-02","17",1,"2-03",3,1,"1st envelope","12",204.25,2,3
"50-5-5",936,"sample","19-50-05","184",5,"50-05",4,1,"","7",250.25,50,5
"100-1-9",924,"sample","23-100-05","172",1,"100-09",4,1,"2nd envelope","7",204.25,100,9
"146-96-02",304,"sample","31-60-03","146",3,"96-02",1,1,"","7",204.25,96,2
"359-42-02",694,"sample","17-2-02","359",6,"42-02",1,1,"coarse underfur, 1st envelope","7",204.25,42,2
"120-6-1",785,"sample","67-114-04","24",6,"120-01",4,1,"1st envelope","7",204.25,120,1
"291-39-03",570,"sample","13-27-05","291",6,"39-03",2,1,"","8",250.25,39,3
"158-55-04",326,"sample","7-34-11","158",3,"55-04",2,1,"","7",204.25,55,4
"114-60-08",239,"sample","67-114-04","114",4,"60-08",3,1,"","7",204.25,60,8
"33-48-02",1033,"sample","31-60-03","33",2,"48-02",3,2,"1st envelope","7",204.25,48,2
"167-14-03",339,"sample","2213","167",4,"14-03",1,1,"","7",250.25,14,3
"327-15-02",632,"sample","2213","327",6,"15-02",2,1,"","7",250.25,15,2
"304-53-01",593,"sample","24-66-03","304",5,"53-01",1,1,"","7",204.25,53,1
"374-114-03",722,"sample","67-114-04","374",6,"114-03",2,1,"","7",204.25,114,3
"253-11-05",502,"sample","12-106-02","253",5,"11-05",1,1,"","7",204.25,11,5
"121-6-4",1023,"sample","276-121-04","274",6,"121-04",4,2,"","7",204.25,121,4
"32-59-01",32,"sample","12-106-02","32",2,"59-01",1,1,"1st envelope","12",204.25,59,1
"67-5-4",777,"sample","7-34-11","15",5,"67-04",4,1,"2nd envelope","7",204.25,67,4
"21-5-7",890,"sample","17-2-02","135",5,"21-07",4,1,"","7",204.25,21,7
"322-36-01",624,"sample","2213","322",6,"36-01",1,1,"","7",250.25,36,1
"15-2-1",937,"sample","13-27-05","185",2,"15-01",4,1,"coarse underfur","7",250.25,15,1
"11-2-5",772,"sample","13-27-05","10",2,"5-Nov",4,1,"","7",250.25,5,NA
"276-121-04",545,"sample","276-121-04","276",5,"121-04",1,1,"","24",204.25,121,4
"100-14-08",217,"sample","2213","100",3,"14-08",2,1,"mostly uf left, 1st envelope","8",250.25,14,8
"116-62-02",1045,"sample","10-86-01","116",3,"62-02",3,2,"","7",204.25,62,2
"188-18-05",381,"sample","13-27-05","188",4,"18-05",1,1,"","7",250.25,18,5
"71-5-3",775,"sample","2213","13",5,"71-03",4,1,"","7",250.25,71,3
"16-5-2",935,"sample","12-106-02","183",5,"16-02",4,1,"","7",204.25,16,2
"95-48-01",202,"sample","31-60-03","95",3,"48-01",1,1,"1st envelope, upper/lower designation hard to read","7",204.25,48,1
"97-69-05",208,"sample","97-69-05","97",3,"69-05",1,1,"","24",204.25,69,5
"51-86-01",51,"sample","10-86-01","51",2,"86-01",1,1,"","10",204.25,86,1
"74-106-06",160,"sample","12-106-02","74",2,"106-06",2,1,"1st envelope","7",204.25,106,6
"46-87-04",46,"sample","10-86-01","46",2,"87-04",1,1,"","12",204.25,87,4
"121-22-04",255,"sample","121-22-04","121",3,"22-04",2,1,"","24",250.25,22,4
"120-18-05",253,"sample","13-27-05","120",3,"18-05",3,1,"","7",250.25,18,5
"18-8-03",18,"sample","17-2-02","18",1,"8-03",1,1,"2nd envelope","11",204.25,8,3
"140-92-10",293,"sample","67-114-04","140",3,"92-10",2,1,"1st envelope","7",204.25,92,10
"299-96-01",584,"sample","12-106-02","299",5,"96-01",1,1,"","7",204.25,96,1
"302-41-01",591,"sample","7-34-11","302",5,"41-01",3,1,"1st envelope","7",204.25,41,1
"1-69-01",1,"sample","35-69-01","1",1,"69-01",1,1,"","11",250.25,69,1
"132-104-03",278,"sample","0056","132",3,"104-03",2,1,"","8",250.25,104,3
"112-29-01",235,"sample","45-29-01","112",3,"29-01",1,1,"","7",204.25,29,1
"184-81-04",375,"sample","0056","184",4,"81-04",2,1,"only uf left, 1st envelope","7",250.25,81,4
"15-22-02",82,"sample","25-55-01","15",1,"22-02",3,1,"","11",204.25,22,2
"385-16-01",741,"sample","13-27-05","385",2,"16-01",2,1,"1st envelope","7",250.25,16,1
"231-67-02",463,"sample","25-55-01","231",4,"67-02",2,1,"1st envelope","7",204.25,67,2
"263-49-02",520,"sample","13-27-05","263",5,"49-02",2,1,"maybe not bear?","7",250.25,49,2
"55-49-03",127,"sample","31-60-03","55",2,"49-03",3,1,"blonde underfur","7",204.25,49,3
"208-105-08",417,"sample","171-105-09","208",4,"105-08",1,1,"","7",204.25,105,8
"154-91-01",317,"sample","7-34-11","154",3,"91-01",2,1,"1st envelope","7",204.25,91,1
"46-4-5",895,"sample","7-34-11","140",4,"46-05",4,1,"","7",204.25,46,5
"44-14-03",1036,"sample","3002","44",2,"14-03",3,2,"","7",250.25,14,3
"234-89-04",466,"sample","25-55-01","234",4,"89-04",1,1,"1st envelope","7",204.25,89,4
"220-102-01",439,"sample","133-116-01","220",4,"102-01",1,1,"1st envelope","7",204.25,102,1
"138-106-02",289,"sample","67-114-04","138",3,"106-02",1,1,"1st envelope","7",204.25,106,2
"26-1-20",992,"sample","3002","242",1,"26-20",4,2,"3rd envelope","7",250.25,26,20
"21-91-03",88,"sample","25-55-01","21",5,"91-03",2,1,"1st envelope","11",204.25,91,3
"99-2-1",939,"sample","12-106-02","187",2,"99-01",4,1,"","7",204.25,99,1
"278-114-02",548,"sample","171-105-09","278",5,"114-02",1,1,"","7",204.25,114,2
"49-20-01",122,"sample","49-20-03","49",2,"20-01",3,1,"mostly underfur left, 1st envelope","7",250.25,20,1
"182-23-01",372,"sample","25-55-01","182",5,"23-01",3,1,"","7",204.25,23,1
"26-67-01",26,"sample","25-55-01","26",1,"67-01",1,1,"1st envelope","12",204.25,67,1
"279-104-03",551,"sample","0056","279",5,"104-03",2,1,"","7",250.25,104,3
"225-94-03",451,"sample","67-114-04","225",4,"94-03",2,1,"3rd envelope","7",204.25,94,3
"346-23-02",668,"sample","121-22-04","346",6,"23-02",1,1,"","7",250.25,23,2
"92-83-09",198,"sample","67-114-04","92",3,"83-09",3,1,"2nd envelope","7",204.25,83,9
"341-4-02",660,"sample","12-106-02","341",6,"4-02",1,1,"","7",204.25,4,2
"45-29-01",45,"sample","45-29-01","45",2,"29-01",1,1,"2nd envelope","24",204.25,29,1
"193-17-01",1107,"sample","13-27-05","193",4,"17-01",2,3,"","7",250.25,17,1
"383-33-09",1092,"sample","31-60-03","383",3,"33-09",3,2,"1st envelope","7",204.25,33,9
"232-91-02",464,"sample","25-55-01","232",4,"91-02",1,1,"91-1 is in this bundle","7",204.25,91,2
"142-14-07",297,"sample","3002","142",1,"14-07",2,1,"","7",250.25,14,7
"274-10-05",541,"sample","12-106-02","274",5,"10-05",1,1,"","7",204.25,10,5
"370-102-05",713,"sample","0056","370",6,"102-05",1,1,"","7",250.25,102,5
"177-64-02",361,"sample","6-87-08","177",4,"64-02",1,1,"1st envelope","8",250.25,64,2
"213-109-06",427,"sample","72-119-02","213",4,"109-06",2,1,"1st envelope","7",204.25,109,6
"119-4-4",846,"sample","72-119-02","88",4,"119-04",4,1,"2nd envelope","7",204.25,119,4
"133-116-01",279,"sample","133-116-01","133",3,"116-01",1,1,"","24",204.25,116,1
